"Generate and download file","Generate and download file"
"Retrieve Install Schema","Retrieve Install Schema"
"Settings","Settings"
"Namespace Module","Namespace Module"
"Information about your namespace\'s module",""
"Vendor's Name","Vendor's Name"
"Vendor's name is generally the name of the company and is the first element of your namespace: &lt;Vendor&gt;\&ltModule&gt;","Vendor's name is generally the name of the company and is the first element of your namespace: &lt;Vendor&gt;\&ltModule&gt;"
"Module Name","Module Name"
"It's the name of your module : &lt;Vendor&gt;\&ltModule&gt;","It's the name of your module : &lt;Vendor&gt;\&ltModule&gt;"
"Tables","Tables"
"Generate InstallSchema.php file from table(s)","Generate InstallSchema.php file from table(s)"
"Select the table(s) to generate the InstallSchema.php file.","Select the table(s) to generate the InstallSchema.php file."
"Install Schema Generator","Install Schema Generator"
"Please select at least one table.","Please select at least one table."
"Your InstallSchema.php is downloading!","Your InstallSchema.php is downloading!"